Леденцовая карамель "Карусель" 28гр/45шт	13,20
Стэп золотой ( орех ) 1/40шт. 50гр. (батончики ) В	13,21
Галеты Регби 1/20 шт.165 гр. (крекер)	13,22
Счастливый день сахарное с молочной нач 1/75 гр/48 шт (печенье)	13,42
Счастливый день сахарное с шоколадной нач 1/75 гр/48 шт (печенье)	13,42
Степ золотой ( орех ) 1/40шт. 50гр. (конфеты )	13,47
Степ золотой ( орех ) 1/30шт. 50гр. (конфеты )	13,48
Батончик глаз.нуга/карам/арах/слив.аромат (золотисто-бежевый) НГ 40гр. (114шт)	13,72
Батончик глаз.нуга/карам/арах/слив.аромат (сине-голубой) НГ 40гр. (114шт)	13,72
Батончик глаз.нуга/карам/шокол.аромат (Дед мороз и подарок,Оленья упряжка)НГ 40гр. (114шт)	13,72
Батончик глаз.нуга/карам/шокол.аромат (Сказочная страна)НГ 40гр. (114шт)	13,72
Леденцовая карамель Зоопарк 1/30 гр 30шт (петушок) ТУБУС	13,75
Леденцовая карамель СИМВОЛ ГОДА 1/30 гр 30шт (петушок) ТУБУС	13,75
Козинак из кунжута 50гр. 1* 4 бл.*28шт.	13,91
Аленка 20 гр 1*2*128 (шоколад)	13,97
Аленка 20 гр ш/б авт 64 плитка 1/256шт (шоколад)	13,97
Пирожное бисквитное гл. крем-ваниль 1/9бл/16 шт. 35 гр.	14,06
Ладушки вкус Лимон ф/п 1/40 шт. 100 гр. (вафли)	14,37
Пирожные с карамельной начинкой 1*4бл.*24 шт. 30 гр. РКК Funny Bunny	14,45
Пирожные с карамельной начинкой 1/48 шт. 30 гр. РКК Funny Bunny	14,45
Пирожные с шоколадной начинкой 1*4бл*24 шт. 30 гр. РКК Funny Bunny	14,45
Пирожные с шоколадной начинкой 1/48 шт. 30 гр. РКК Funny Bunny	14,45
Десертные ф/п 1/40шт.100гр.(вафли)	14,62
Несквик (Батончик) 1/36 шт. 28 гр.	14,70
Золотой юбилей 1/40шт.*134гр.(печенье)	14,85
Мармелад жев. Тропические фрукты 1* 36 шт *70 гр.	14,96
